[Gradient Check] Epoch 24, Batch 1
[GRAD] seg_head_layers.12.cv2.2.0.bn.bias: mean=-0.001206, max=0.008484
[GRAD] seg_head_layers.12.cv2.2.1.conv.weight: mean=-0.000041, max=0.057287
[GRAD] seg_head_layers.12.cv2.2.1.bn.weight: mean=0.002455, max=0.087083
[GRAD] seg_head_layers.12.cv2.2.1.bn.bias: mean=-0.000704, max=0.045309
[GRAD] seg_head_layers.12.cv2.2.2.weight: mean=-0.000000, max=0.678904
[GRAD] seg_head_layers.12.cv2.2.2.bias: mean=-0.000000, max=0.175433
[GRAD] seg_head_layers.12.cv3.0.0.0.conv.weight: mean=-0.002416, max=0.068370
[GRAD] seg_head_layers.12.cv3.0.0.0.bn.weight: mean=-0.000502, max=0.022264
[GRAD] seg_head_layers.12.cv3.0.0.0.bn.bias: mean=0.000760, max=0.013775
[GRAD] seg_head_layers.12.cv3.0.0.1.conv.weight: mean=0.000057, max=0.093630
[GRAD] seg_head_layers.12.cv3.0.0.1.bn.weight: mean=0.000135, max=0.008470
[GRAD] seg_head_layers.12.cv3.0.0.1.bn.bias: mean=-0.000344, max=0.018099
[GRAD] seg_head_layers.12.cv3.0.1.0.conv.weight: mean=0.002304, max=0.151776
[GRAD] seg_head_layers.12.cv3.0.1.0.bn.weight: mean=0.000031, max=0.063013
[GRAD] seg_head_layers.12.cv3.0.1.0.bn.bias: mean=-0.000082, max=0.023264
[GRAD] seg_head_layers.12.cv3.0.1.1.conv.weight: mean=0.000654, max=0.066503
[GRAD] seg_head_layers.12.cv3.0.1.1.bn.weight: mean=0.003557, max=0.050391
[GRAD] seg_head_layers.12.cv3.0.1.1.bn.bias: mean=-0.003943, max=0.024723
[GRAD] seg_head_layers.12.cv3.0.2.weight: mean=0.013563, max=0.337177
[GRAD] seg_head_layers.12.cv3.0.2.bias: mean=0.051778, max=0.183147
[GRAD] seg_head_layers.12.cv3.1.0.0.conv.weight: mean=-0.000960, max=0.062774
[GRAD] seg_head_layers.12.cv3.1.0.0.bn.weight: mean=-0.000008, max=0.020439
[GRAD] seg_head_layers.12.cv3.1.0.0.bn.bias: mean=0.000036, max=0.005397
[GRAD] seg_head_layers.12.cv3.1.0.1.conv.weight: mean=-0.000145, max=0.102341
[GRAD] seg_head_layers.12.cv3.1.0.1.bn.weight: mean=-0.000403, max=0.005233
[GRAD] seg_head_layers.12.cv3.1.0.1.bn.bias: mean=0.000162, max=0.006674
[GRAD] seg_head_layers.12.cv3.1.1.0.conv.weight: mean=-0.003309, max=0.152889
[GRAD] seg_head_layers.12.cv3.1.1.0.bn.weight: mean=-0.000629, max=0.038791
[GRAD] seg_head_layers.12.cv3.1.1.0.bn.bias: mean=0.000327, max=0.014212
[GRAD] seg_head_layers.12.cv3.1.1.1.conv.weight: mean=0.001116, max=0.085810
[GRAD] seg_head_layers.12.cv3.1.1.1.bn.weight: mean=0.009040, max=0.093212
[GRAD] seg_head_layers.12.cv3.1.1.1.bn.bias: mean=-0.000078, max=0.033303
[GRAD] seg_head_layers.12.cv3.1.2.weight: mean=0.027732, max=0.644301
[GRAD] seg_head_layers.12.cv3.1.2.bias: mean=0.059031, max=0.203018
[GRAD] seg_head_layers.12.cv3.2.0.0.conv.weight: mean=0.002181, max=0.369411
[GRAD] seg_head_layers.12.cv3.2.0.0.bn.weight: mean=-0.000006, max=0.039326
[GRAD] seg_head_layers.12.cv3.2.0.0.bn.bias: mean=0.000034, max=0.011542
[GRAD] seg_head_layers.12.cv3.2.0.1.conv.weight: mean=-0.000229, max=0.220433
[GRAD] seg_head_layers.12.cv3.2.0.1.bn.weight: mean=0.000146, max=0.011298
[GRAD] seg_head_layers.12.cv3.2.0.1.bn.bias: mean=-0.000009, max=0.013122
[GRAD] seg_head_layers.12.cv3.2.1.0.conv.weight: mean=0.002880, max=0.211110
[GRAD] seg_head_layers.12.cv3.2.1.0.bn.weight: mean=-0.000431, max=0.052921
[GRAD] seg_head_layers.12.cv3.2.1.0.bn.bias: mean=0.000225, max=0.021721
[GRAD] seg_head_layers.12.cv3.2.1.1.conv.weight: mean=-0.000195, max=0.079402
[GRAD] seg_head_layers.12.cv3.2.1.1.bn.weight: mean=-0.002516, max=0.027226
[GRAD] seg_head_layers.12.cv3.2.1.1.bn.bias: mean=-0.002898, max=0.018291
[GRAD] seg_head_layers.12.cv3.2.2.weight: mean=0.000100, max=0.338857
[GRAD] seg_head_layers.12.cv3.2.2.bias: mean=0.012646, max=0.088777
[NO GRAD] seg_head_layers.12.dfl.conv.weight does not have grad
[GRAD] seg_head_layers.12.proto.cv1.conv.weight: mean=0.000077, max=0.022023
[GRAD] seg_head_layers.12.proto.cv1.bn.weight: mean=0.001965, max=0.031622
[GRAD] seg_head_layers.12.proto.cv1.bn.bias: mean=-0.003868, max=0.033283
[GRAD] seg_head_layers.12.proto.upsample.weight: mean=0.000534, max=0.019444
[GRAD] seg_head_layers.12.proto.upsample.bias: mean=0.000077, max=0.000854
[GRAD] seg_head_layers.12.proto.cv2.conv.weight: mean=-0.000029, max=0.019010
[GRAD] seg_head_layers.12.proto.cv2.bn.weight: mean=0.000979, max=0.057035
[GRAD] seg_head_layers.12.proto.cv2.bn.bias: mean=-0.003278, max=0.034640
[GRAD] seg_head_layers.12.proto.cv3.conv.weight: mean=-0.009375, max=0.154067
[GRAD] seg_head_layers.12.proto.cv3.bn.weight: mean=0.002448, max=0.070438
[GRAD] seg_head_layers.12.proto.cv3.bn.bias: mean=0.077932, max=0.522674
[GRAD] seg_head_layers.12.cv4.0.0.conv.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.0.0.bn.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.0.0.bn.bias: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.0.1.conv.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.0.1.bn.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.0.1.bn.bias: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.0.2.weight: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.0.2.bias: mean=0.000000, max=0.000000
[GRAD] seg_head_layers.12.cv4.1.0.conv.weight: mean=-0.000024, max=0.011230
[GRAD] seg_head_layers.12.cv4.1.0.bn.weight: mean=-0.000848, max=0.023084
[GRAD] seg_head_layers.12.cv4.1.0.bn.bias: mean=0.000863, max=0.006384
[GRAD] seg_head_layers.12.cv4.1.1.conv.weight: mean=0.000236, max=0.040385
[GRAD] seg_head_layers.12.cv4.1.1.bn.weight: mean=0.004347, max=0.100829
[GRAD] seg_head_layers.12.cv4.1.1.bn.bias: mean=0.002189, max=0.030335
[GRAD] seg_head_layers.12.cv4.1.2.weight: mean=0.001996, max=0.389725
[GRAD] seg_head_layers.12.cv4.1.2.bias: mean=0.012303, max=0.109356
[GRAD] seg_head_layers.12.cv4.2.0.conv.weight: mean=-0.000005, max=0.001692
[GRAD] seg_head_layers.12.cv4.2.0.bn.weight: mean=0.000198, max=0.007288
[GRAD] seg_head_layers.12.cv4.2.0.bn.bias: mean=0.000195, max=0.004356
[GRAD] seg_head_layers.12.cv4.2.1.conv.weight: mean=-0.000406, max=0.026345
[GRAD] seg_head_layers.12.cv4.2.1.bn.weight: mean=-0.004987, max=0.098180
[GRAD] seg_head_layers.12.cv4.2.1.bn.bias: mean=-0.003873, max=0.043604
[GRAD] seg_head_layers.12.cv4.2.2.weight: mean=0.001143, max=0.138218
[GRAD] seg_head_layers.12.cv4.2.2.bias: mean=0.009578, max=0.066423
[GRAD] det_head_layers.cv2.0.0.conv.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.0.0.bn.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.0.0.bn.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.0.1.conv.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.0.1.bn.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.0.1.bn.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.0.2.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.0.2.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.0.conv.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.0.bn.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.0.bn.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.1.conv.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.1.bn.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.1.bn.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.2.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.1.2.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.0.conv.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.0.bn.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.0.bn.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.1.conv.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.1.bn.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.1.bn.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.2.weight: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv2.2.2.bias: mean=0.000000, max=0.000000
[GRAD] det_head_layers.cv3.0.0.0.conv.weight: mean=0.005797, max=0.797937
[GRAD] det_head_layers.cv3.0.0.0.bn.weight: mean=0.000750, max=0.227013
[GRAD] det_head_layers.cv3.0.0.0.bn.bias: mean=-0.002610, max=0.035212
[GRAD] det_head_layers.cv3.0.0.1.conv.weight: mean=-0.000182, max=0.675870
[GRAD] det_head_layers.cv3.0.0.1.bn.weight: mean=-0.000013, max=0.013870
[GRAD] det_head_layers.cv3.0.0.1.bn.bias: mean=-0.000911, max=0.027486
[GRAD] det_head_layers.cv3.0.1.0.conv.weight: mean=0.002404, max=0.185847
[GRAD] det_head_layers.cv3.0.1.0.bn.weight: mean=-0.000224, max=0.269592
[GRAD] det_head_layers.cv3.0.1.0.bn.bias: mean=-0.003121, max=0.039192
[GRAD] det_head_layers.cv3.0.1.1.conv.weight: mean=0.000003, max=0.462306
[GRAD] det_head_layers.cv3.0.1.1.bn.weight: mean=0.026173, max=0.234200
[GRAD] det_head_layers.cv3.0.1.1.bn.bias: mean=-0.000537, max=0.083947
[GRAD] det_head_layers.cv3.0.2.weight: mean=0.032462, max=1.887974
[GRAD] det_head_layers.cv3.0.2.bias: mean=0.055234, max=0.481779
[GRAD] det_head_layers.cv3.1.0.0.conv.weight: mean=0.000188, max=0.007201
[GRAD] det_head_layers.cv3.1.0.0.bn.weight: mean=0.000004, max=0.001903
[GRAD] det_head_layers.cv3.1.0.0.bn.bias: mean=-0.000019, max=0.000990
[GRAD] det_head_layers.cv3.1.0.1.conv.weight: mean=-0.000006, max=0.009084
[GRAD] det_head_layers.cv3.1.0.1.bn.weight: mean=0.000105, max=0.001891
[GRAD] det_head_layers.cv3.1.0.1.bn.bias: mean=-0.000112, max=0.001607
[GRAD] det_head_layers.cv3.1.1.0.conv.weight: mean=0.000457, max=0.021529
[GRAD] det_head_layers.cv3.1.1.0.bn.weight: mean=-0.000075, max=0.008653
[GRAD] det_head_layers.cv3.1.1.0.bn.bias: mean=-0.000020, max=0.003582
[GRAD] det_head_layers.cv3.1.1.1.conv.weight: mean=-0.000164, max=0.012402
[GRAD] det_head_layers.cv3.1.1.1.bn.weight: mean=-0.002598, max=0.011934
[GRAD] det_head_layers.cv3.1.1.1.bn.bias: mean=-0.005203, max=0.015646
[GRAD] det_head_layers.cv3.1.2.weight: mean=0.002944, max=0.104093
[GRAD] det_head_layers.cv3.1.2.bias: mean=0.007477, max=0.051061
[GRAD] det_head_layers.cv3.2.0.0.conv.weight: mean=0.000000, max=0.000527
[GRAD] det_head_layers.cv3.2.0.0.bn.weight: mean=0.000005, max=0.000220
[GRAD] det_head_layers.cv3.2.0.0.bn.bias: mean=-0.000007, max=0.000212
[GRAD] det_head_layers.cv3.2.0.1.conv.weight: mean=0.000002, max=0.000924
[GRAD] det_head_layers.cv3.2.0.1.bn.weight: mean=-0.000018, max=0.000306
[GRAD] det_head_layers.cv3.2.0.1.bn.bias: mean=0.000013, max=0.000372
[GRAD] det_head_layers.cv3.2.1.0.conv.weight: mean=0.000017, max=0.001147
[GRAD] det_head_layers.cv3.2.1.0.bn.weight: mean=-0.000009, max=0.000858
[GRAD] det_head_layers.cv3.2.1.0.bn.bias: mean=-0.000003, max=0.000927
[GRAD] det_head_layers.cv3.2.1.1.conv.weight: mean=-0.000059, max=0.003761
[GRAD] det_head_layers.cv3.2.1.1.bn.weight: mean=-0.001462, max=0.003610
[GRAD] det_head_layers.cv3.2.1.1.bn.bias: mean=-0.001969, max=0.004161
[GRAD] det_head_layers.cv3.2.2.weight: mean=0.000895, max=0.024499
[GRAD] det_head_layers.cv3.2.2.bias: mean=0.001978, max=0.015477
[NO GRAD] det_head_layers.dfl.conv.weight does not have grad
